Restaurant Name, Dish Name, Price, Cuisine Type, Suitable for, FID
Grill Wagon, Butter Chicken, ₹350, North Indian, all seasons, 801
Grill Wagon, Paneer Tikka, ₹300, North Indian, all seasons, 802
Grill Wagon, Dal Makhani, ₹250, North Indian, all seasons, 803
Grill Wagon, Chicken Fried Rice, ₹250, Chinese, all seasons, 804
Grill Wagon, Veg Spring Rolls, ₹200, Chinese, all seasons, 805
Grill Wagon, Grilled Fish, ₹400, Continental, all seasons, 806
Grill Wagon, Caesar Salad, ₹200, Continental, hot sunny days, 807
Grill Wagon, Chocolate Cake, ₹150, Desserts, all seasons, 808
Grill Wagon, Brownie Sundae, ₹200, Desserts, all seasons, 809
Grill Wagon, Garlic Naan, ₹50, North Indian, all seasons, 810
Grill Wagon, Mango Lassi, ₹80, Beverage, hot sunny days, 811
Grill Wagon, Chicken Noodles, ₹250, Chinese, all seasons, 812
